sample_id,marker_id,source,marker_cam_x_m,marker_cam_y_m,marker_cam_z_m,marker_cam_qw,marker_cam_qx,marker_cam_qy,marker_cam_qz,stick_base_x_m,stick_base_y_m,stick_base_z_m,stick_base_qw,stick_base_qx,stick_base_qy,stick_base_qz
1,2,DUAL,-0.08042312680435014,-0.009393050016054002,0.40647222545636325,0.17619975469583296,0.7159612565491659,0.5336458134442092,-0.4142164547179847,0.17409222237712033,0.005334383095444661,0.1165737870875852,-0.17969750499551473,0.7253077522849979,0.10820982577967748,0.6556890305460378
2,3,DUAL,0.0057661849630893935,-0.04224703747341619,0.3856249212930632,-0.25863902472750616,0.8099505473260428,0.4818422839765123,0.21192918427282878,0.17409222237712033,0.005334383095444661,0.1165737870875852,-0.17969750499551473,0.7253077522849979,0.10820982577967748,0.6556890305460378
3,3,TRUSTED_SINGLE_HISTORY,0.010158211456900835,-0.047035722010323675,0.3704923520706087,-0.19715919288541806,0.7636754160542207,0.5851900029615541,0.18836340411300648,0.18875643052194746,0.002015346313134483,0.1244003359527131,-0.09093582225546838,0.7829919948393954,0.04342030426027114,0.6138150286740229
4,3,TRUSTED_SINGLE_HISTORY,0.01118297895315898,-0.0495748062661425,0.37206235368741986,-0.11913387210111354,0.775318815277979,0.6201474694239802,0.010245553239352076,0.18865903352479707,0.00034385368417841084,0.12275687571155701,-0.046072992860925935,0.880675673506978,0.10527140461499403,0.4595710704474927
5,3,TRUSTED_SINGLE_HISTORY,0.01573936370570092,-0.05263956561108859,0.37436646947984975,-0.3135432844739711,0.6658612450194819,0.5725730927411216,0.3612194133919811,0.1920497760917297,-0.002726474970434915,0.1161521174925315,-0.054526798071160155,0.6324175978201768,-0.019717065670333166,0.772454560204557
6,2,DUAL,-0.08234180025505544,-0.034903534239145925,0.37546091914347446,0.22218639874012197,0.703451578940251,0.5906445133196043,-0.32699868376923336,0.19614508166806,0.0021049136809178862,0.12330321977031755,-0.09821492960741145,0.7100111471071262,0.040261050407976805,0.6961444149067637
7,3,DUAL,0.0101677014910803,-0.05194832972908028,0.36576259934309363,-0.26808947802587574,0.7409043758226771,0.5561525934716444,0.2643539869822024,0.19614508166806,0.0021049136809178862,0.12330321977031755,-0.09821492960741145,0.7100111471071262,0.040261050407976805,0.6961444149067637
8,2,DUAL,-0.07312621834120805,-0.0384494295787978,0.35802396949544907,0.20823672009648217,0.7239613615139348,0.5969671381154836,-0.2759486391496766,0.20789321705471325,-0.007177030782804673,0.13015077676085107,-0.09754291513380554,0.674806532322526,0.012378535598651345,0.7314152688442317
9,3,DUAL,0.01984354842864954,-0.054966308963284576,0.35288541507523186,-0.2835984510194432,0.7189815418820761,0.5511135263026447,0.3145017363044425,0.20789321705471325,-0.007177030782804673,0.13015077676085107,-0.09754291513380554,0.674806532322526,0.012378535598651345,0.7314152688442317
10,2,TRUSTED_SINGLE_HISTORY,-0.07462055289167248,-0.03939150856731111,0.3583493369205156,0.13322563658003544,0.7481810826940652,0.6345087848412373,-0.14097730035674996,0.20290656996237003,-0.006000110564095967,0.12777001341019548,-0.07302607052694322,0.5542751527924228,-0.022610623836230255,0.8288154243919852
11,2,TRUSTED_SINGLE_HISTORY,-0.07399760308618974,-0.041638763454057724,0.3454250384870091,-0.07138780605072177,0.7483161227866865,0.6537699398287647,0.08666964463443057,0.21435248528994624,-0.006636623759774973,0.13611181562574304,-0.05539841714365058,0.2771517517278284,-0.03160789531808396,0.9587068701358802
12,2,TRUSTED_SINGLE_HISTORY,-0.07643313692884068,-0.03854541502344774,0.3452104444397667,-0.23368712444976186,0.6929837295815295,0.5596139701592117,0.38986675006253113,0.2160828933575898,-0.0005336508436996346,0.12319899416690028,-0.04406179536392457,-0.0675333380503793,-0.1336735639722851,0.9877394315992594
13,2,TRUSTED_SINGLE_HISTORY,-0.07710250604155211,-0.03716783438329992,0.3457875902640777,-0.2800382356689463,0.6537299093141425,0.5296422666381334,0.4622714155363355,0.2157767563657804,0.0008002449947256823,0.12213145322462582,-0.03137982839395486,-0.16392956066856007,-0.14813251273038316,0.9747815981958019
